Timestamp,Você concorda em participar deste estudo?,Qual era seu nível de familiaridade com temas relacionados à proteção de dados pessoais (como LGPD/GDPR)?,Qual sua formação acadêmica?,Qual sua área de formação?,"Você já atua ou atuou profissionalmente na área de desenvolvimento de software ou áreas afins (ex: desenvolvedor, analista, PO, UX, testes, suporte técnico, banco de dados, consultor)?",As diretrizes facilitaram a proposição de melhorias no sistema analisado.,Foi fácil identificar diretrizes que se relacionavam aos problemas identificados.,As diretrizes são adequadas a contextos reais de sistemas digitais.,O uso das diretrizes facilitou o entendimento da aplicação dos princípios e direitos legais de proteção de dados pessoais.,"Sinto que agora consigo desenvolver sistemas digitais melhores, considerando práticas de proteção de dados.",Eu acho que gostaria de usar esse catálogo com frequência,Eu acho o catálogo desnecessariamente complexo.,Eu achei o catálogo fácil de usar.,Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar esse catálogo.,Eu acho que as várias funções do catálogo estão muito bem integradas.,Eu acho que o catálogo apresenta muita inconsistência.,Eu imagino que as pessoas aprenderão como usar esse catálogo rapidamente.,Eu achei o catálogo não prático de usar.,Eu me senti confiante ao usar o catálogo.,Eu precisei aprender várias coisas novas antes de conseguir usar o catálogo.,"Gostaria de deixar algum comentário sobre o uso do catálogo, sua experiência com a atividade ou sugestões de melhoria?"
2025/06/16 7:03:09 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,5,5,5,5,5,2,4,1,4,2,5,1,5,2,
2025/06/16 7:05:37 PM GMT-3,"Sim, concordo em participar",Já apliquei proteção de dados pessoais em desenvolvimento de sistemas.,Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,5,5,3,1,5,1,5,1,5,1,5,1,
2025/06/16 7:19:18 PM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,3,5,5,5,4,1,4,2,5,2,5,1,4,1,Não
2025/06/16 7:19:35 PM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,4,5,4,1,5,1,5,1,4,1,4,1,
2025/06/16 7:19:35 PM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,3,4,5,3,3,2,4,2,3,2,4,2,3,3,
2025/06/16 7:19:36 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,3,5,5,4,2,3,3,1,3,1,4,2,3,1,
2025/06/16 7:20:21 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,5,5,5,5,5,4,1,5,1,4,1,5,1,5,1,
2025/06/16 7:20:32 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,5,1,5,1,5,1,3,2,5,2,
2025/06/16 7:20:34 PM GMT-3,"Sim, concordo em participar","Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho mais de 5 anos de experiência profissional.,5,5,5,4,5,5,3,4,2,3,1,4,2,5,2,
2025/06/16 7:22:02 PM GMT-3,"Sim, concordo em participar","Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,4,3,3,3,3,4,2,3,3,3,1,
