Timestamp,Qual era seu nível de familiaridade com temas relacionados à proteção de dados pessoais (como LGPD/GDPR)?,Qual sua formação acadêmica?,Qual sua área de formação?,"Você já atua ou atuou profissionalmente na área de desenvolvimento de software ou áreas afins (ex: desenvolvedor, analista, PO, UX, testes, suporte técnico, banco de dados, consultor)?",As diretrizes facilitaram a proposição de melhorias no sistema analisado.,Foi fácil identificar diretrizes que se relacionavam aos problemas identificados.,As diretrizes são adequadas a contextos reais de sistemas digitais.,O uso das diretrizes facilitou o entendimento da aplicação dos princípios e direitos legais de proteção de dados pessoais.,"Sinto que agora consigo desenvolver sistemas digitais melhores, considerando práticas de proteção de dados.",Eu acho que gostaria de usar esse catálogo com frequência,Eu acho o catálogo desnecessariamente complexo.,Eu achei o catálogo fácil de usar.,Eu acho que precisaria de ajuda de uma pessoa com conhecimentos técnicos para usar esse catálogo.,Eu acho que as várias funções do catálogo estão muito bem integradas.,Eu acho que o catálogo apresenta muita inconsistência.,Eu imagino que as pessoas aprenderão como usar esse catálogo rapidamente.,Eu achei o catálogo não prático de usar.,Eu me senti confiante ao usar o catálogo.,Eu precisei aprender várias coisas novas antes de conseguir usar o catálogo.,"Gostaria de deixar algum comentário sobre o uso do catálogo, sua experiência com a atividade ou sugestões de melhoria?"
2025/11/17 6:56:40 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,3,4,3,4,4,2,4,3,1,4,1,4,2,4,1,Não encontrei diretrizes que mencionem exclusão de dados pessoais.
2025/11/17 7:08:29 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,3,4,4,5,3,3,2,3,3,2,2,1,4,3,
2025/11/17 7:17:34 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,3,5,5,5,4,1,5,2,4,1,5,1,5,1,
2025/11/17 7:19:20 PM GMT-3,Nunca tinha tido contato com o tema.,Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,2,4,5,4,3,4,5,4,5,2,1,2,2,1,
2025/11/17 7:19:53 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,4,3,5,5,4,4,2,4,1,4,5,4,2,3,3,
2025/11/17 7:21:32 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,3,2,3,3,5,2,4,3,3,1,4,2,2,2,2,
2025/11/17 7:22:51 PM GMT-3,"Desempenho ou já desempenhei um papel específico referente à proteção de dados pessoais (controlador, operador, encarregado, consultor, auditor...).",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,4,5,5,4,5,1,4,3,4,2,4,2,4,2,
2025/11/17 7:22:59 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,5,5,5,5,5,5,3,3,3,4,2,3,3,3,2,
2025/11/17 7:23:10 PM GMT-3,Já apliquei proteção de dados pessoais em desenvolvimento de sistemas.,Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,5,5,3,1,5,2,5,1,5,1,5,1,
2025/11/17 7:24:57 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,3,5,4,4,3,2,4,1,4,1,4,2,4,4,
2025/11/17 7:25:10 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,4,4,2,3,2,2,4,2,4,1,3,3,4,3,
2025/11/17 7:25:14 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,4,5,4,3,4,1,4,3,5,1,4,1,4,2,
2025/11/17 7:29:52 PM GMT-3,Nunca tinha tido contato com o tema.,Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,5,2,4,4,4,2,4,2,2,3,2,1,4,2,5,"O catálogo é relativamente complexo, mesmo sabendo o problema é difícil saber em que diretriz ele se encaixa e apresenta várias diretrizes desnecessárias  ou ambíguas. "
2025/11/17 7:38:24 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,3,1,3,4,4,3,4,2,3,3,3,2,4,2,3,
2025/11/17 7:40:58 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,3,3,3,4,4,1,4,2,3,1,1,2,4,4,
2025/11/17 8:04:23 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,4,3,5,3,5,1,5,1,5,5,
2025/11/17 8:05:54 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho menos de 1 ano de experiência profissional.,3,3,4,4,4,5,1,4,2,5,1,5,2,4,5,
2025/11/17 8:08:25 PM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Tenho graduação.,Engenharia,Não tenho experiência profissional,5,5,5,5,4,3,1,5,1,3,1,4,1,4,1,
2025/11/18 10:25:56 AM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Não tenho experiência profissional,3,4,2,3,2,2,2,4,2,2,3,4,2,3,2,
2025/11/18 11:22:13 AM GMT-3,"Já tinha ouvido falar, mas nunca estudei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,4,4,5,4,4,4,2,5,1,3,2,4,1,4,2,
2025/11/30 7:08:30 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 1 e 2 anos de experiência profissional.,5,5,5,5,4,3,1,5,2,5,1,5,1,5,1,
2025/12/01 5:54:20 PM GMT-3,Já apliquei proteção de dados pessoais em desenvolvimento de sistemas.,Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,5,5,5,5,5,5,1,5,2,5,1,4,1,5,1,
2025/12/01 11:31:57 PM GMT-3,"Já estudei formalmente o tema (ex: em outras disciplinas, cursos, leitura de legislação), mas nunca apliquei.",Estou cursando graduação.,Área de TI.,Tenho entre 2 a 5 anos de experiência profissional.,4,3,4,5,4,3,3,3,3,4,2,4,2,3,2,
