Ref,Paper Title,Theme,Subtheme,Domain,Sample Size,Study Design,Study Type,main_contribution,tries_to_help_users_to,process_code,publication_type,year
P1,A “Nutrition Label” for Privacy,Improving Privacy Policy,Improving Privacy Policy Visual Presentation,Online Services,24,Within-subjects design,Laboratory Experiment,"Present a ""Nutrition Label"" for privacy - an information design that improves privacy policies' visual presentation and comprehensibility. The design standardises information placement, uses four easily comparable symbols for clarity, offers quick visual feedback through page intensity, is printable, fits within a browser window, and includes an attached glossary for user convenience.","find information more quickly and accurately (in privacy policies), with a more enjoyable information-seeking experience.","improving comprehensibility of privacy policies, improving information-seeking experience, improving visual presentation of privacy policies",Conference Paper,2009
P2,A Blockchain-based approach for matching desired and real privacy settings of social network users,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,Propose a decentralised approach to manage the privacy settings of a user. Any change in the privacy settings of a social network user is validated by a smart contract to ensure that it is compliant with users’ expectations to protect the user's privacy settings against unilateral modifications.,to detect whether a (privacy) violation has occurred in case of dispute.,"managing OSN privacy settings, detecting privacy violations",Journal Article,2021
P3,A Context-sensitive Privacy-aware Framework for Proactive Location-based Services,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Introduces a privacy-aware framework for proactive location-based services (LBS) that enables user-configured, application-specific and context-sensitive privacy preferences.",to individually define in which situation location information is shared with proactive LBS applications.,"managing location privacy settings, defining location information sharing",Conference Paper,2016
P4,A Framework for Computing the Privacy Scores of Users in Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,153,NA,Online Survey,Propose a framework that estimates a privacy score for each user. This score indicates the user’s potential risk caused by his or her participation in the network.,enhance public awareness of privacy and to reduce the complexity of managing information sharing in social networks,"raising privacy awareness, estimating privacy score",Journal Article,2010
P5,A Framework for Personalized Location Privacy,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose a general framework called SmartGuard, which dynamically selects the best privacy preservation strategy for a user based on her preferences and the current status of her mobile device.",have recommended the best privacy preservation strategy for LBS  based on the privacy requirement and the current status of their mobile devices,"recommending privacy settings, managing location privacy settings",Journal Article,2022
P6,A framework for protecting personal information and privacy,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,-,-,-,"Propose a privacy protection model to evaluate property risk of users, which takes into account both sensitivity of the property and requester’s level of assurance",to process authorization requests more accurately and rapidly,"processing authorisation request, estimating property risk",Journal Article,2015
P7,A human-centered artificial intelligence approach for privacy protection of elderly App users in smart cities,Controlling Information Disclosure,Managing Privacy Settings,Software applications,20,NA,Survey,"Propose two algorithms, the participatory privacy protection algorithm-I, and participatory privacy protection algorithm-II, for determining optimal privacy settings of an Ambient Assisted Living App (AAL) app and handling its runtime Permission requests, respectively",be relieved of cognitive loads resulting from the complex decision-making associated with the privacy self-management model while having privacy protection improvements when using AAL apps in smart cities.,"recommending privacy settings, relieving cognitive burden of privacy decision-making,managing privacy settings smart cities",Journal Article,2021
P8,A joint sharing approach for online privacy preservation,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,200,NA,TAM,Proposes a collaborative sharing model that works on the principles of joint sharing to fulfill privacy needs of OSN users on shared objects,satisfy the privacy needs of each involved user (of an online shared content) through a joint-sharing method that merges user rights,"managing multiparty privacy, merging user rights in joint-sharing",Journal Article,2021
P9,A machine learning solution to assess privacy policy completeness: (short paper),Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,-,-,-,"Present a solution to assist the user by providing a structured way to browse the policy content and by automatically assessing the completeness of a policy, i.e. the degree of coverage of privacy categories important to the user.",easily discover if privacy categories of his interest are covered by a policy,"improving information seeking experience, assessing the completeness of a privacy policy",Conference Paper,2012
P10,A machine-learning based approach for measuring the completeness of online privacy policies,Improving Privacy Policy,Advancing Privacy Policy Assessment,Online Services,-,-,-,Describe an automated approach for assisting users to evaluate online privacy policies based on completeness. The term completeness refers to the presence of 8 sections in an online privacy policy that have been recognised as helpful in establishing the transparency of a privacy policy.,take greater control of their data by notifying them about the important sections missing from a given privacy policy to protect their personal information,"evaluating the completeness of a privacy policy, taking control of data",Conference Paper,2016
P11,A machine-learning based approach to privacy-aware information-sharing in mobile social networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,70,NA,Online Survey,"Design and implementation of an information-sharing system (SPISM) for (semi-) automatic decision-making in mobile social networks: It enables users to share different types of information (location, activity and co-presence of other people) with other users or services in a privacy-aware fashion.","users to share different types of information (location, activity and co-presence of other people) with other users or services in a privacy-aware fashion with a (semi-)automatic decision-making information-sharing system","managing OSN privacy settings, making (semi-) automatic privacy decision, making information sharing decision",Journal Article,2016
P12,A Model for Governing Information Sharing in Smart Assistants,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"Present a model to learn and represent privacy norms and to reason about their relevance and applicability in different contexts, allowing Smart Personal Assistants (SPAs) to make decisions about information flows.",have their SPAs automatically reason about privacy norms to decide the best course of action according to the user’s expectations,"Making automatic privacy decisions, sharing information based on privacy norms, managing privacy settings in smart devices",Conference Paper,2022
P13,A Multi-agent Model to Support Privacy Preserving Co-owned Image Sharing on Social Media,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Present a multi-agent system in which an opinion formulation algorithm computes offline user opinions based on user personality and behaviour information.,reach a consensus on posting co-owned images when co-owners are offline.,"managing multiparty privacy, consensus reaching on co-owned data sharing",Journal Article,2022
P14,A new approach for managing Android permissions: learning users’ preferences,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Present a recommender-based system, called Kapuer (KAPUER is an Assistant for Protection of Users pErsonal infoRmation), that assists people in managing permissions on their Android device. ","protect their privacy more easily, without needing knowledge about access control models or policy’s structure","managing app permission requests, recommending permission settings",Conference Paper,2017
P15,A Privacy Settings Prediction Model for Textual Posts on Social Networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,94,NA,Online Survey,"Present a random forest-based privacy policy prediction model to recommend fine-grained privacy policies to OSN users. The model predicts privacy policies for users' posts by analysing past decisions, post content, and social context, including emotions, timestamps, location, and keywords, framing privacy policy inference as a multi-class classification problem based on similar privacy preferences.",configure privacy settings for text-based posts.,"managing OSN privacy settings, recommending privacy settings, configuring privacy settings for text-based posts",Journal Article,2018
P16,A Privacy-Enhanced Friending Approach for Users on Multiple Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,"Introduce an automated model for privacy-preserved friending for users concentrating on multiple online social networking sites based on the sensitivity of information. To achieve this, the work proposes a sensitivity score calculation to decide what types of information (i.e., attributes) can bring about privacy threats for users.",users to achieve friending with other individuals in online social networks with a mitigated risk of privacy,"calculating the sensitivity score of information sharing, mitigating privacy risk",Journal Article,2018
P17,A Proposal of Privacy Management Architecture,Controlling Information Disclosure,Managing Privacy Settings,Online Services,-,-,-,"Proposed is a privacy management architecture for securely exchanging private information, where a server controls user data and client applications collect it, limiting service providers' access to the minimum needed per user preferences to reduce the risk of leaks through misuse or accidental disclosure.",to prevent unnecessary leak of information,"controlling information leak, limiting service providers' access per user preferences",Conference Paper,2010
P18,A recommendation approach for user privacy preferences in the fitness domain,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,295,Within-subjects design,Online Experiment,"A recommendation approach for user privacy preferences for fitness devices, which integrates GDPR principles with privacy recommendations, employing a two-step user modelling process that first identifies diverse user profiles using machine learning clustering, then uses a tree-based classifier to align users with profiles based on privacy preferences, behaviours, attitudes, negotiability, social influences, feedback, and demographic attributes for personalised privacy setting recommendations.",balance control over their privacy permissions and the simplicity of setting these permissions,"recommending privacy settings, managing smart devices privacy settings",Journal Article,2020
P19,A self-configuring and adaptive privacy-aware permission system for Android apps,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,Enhance their previously proposed Android Flexible Permissions (AFP) with self-configuring and adapting features to simplify adoption by aligning with user privacy preferences and dynamically adjusting permissions to guard against emerging threats.,have finer-grade control over their personal data,"controlling information disclosure, configuring app permissions automatically",Conference Paper,2020
P20,A Semi-supervised Approach to Measuring User Privacy in Online Social Networks,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,185,Between-subjects design,Online Experiment,Propose a circle-based definition of privacy score based on an active learning approach to provide the users of online social networks with a measure of their privacy leakage.,be aware of the risks derived by the indiscriminate disclosure of their personal data,"raising privacy awareness, measuring privacy leakage",Conference Paper,2016
P21,A Server-side Approach to Privacy Policy Matching,Controlling Information Disclosure,Managing Privacy Settings,Software applications,-,-,-,"Propose a new approach to privacy policy matching - server side solution, denoted server-side matching. The main idea is to transfer the responsibility of obtaining and matching privacy policies with user preferences to the services providers.",be alleviated from the burden of conducting continuously privacy decisions,managing privacy preferences,Conference Paper,2011
P22,A User-Centric and Sentiment Aware Privacy-Disclosure Detection Framework based on Multi-input Neural Network,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,-,-,-,"Reviews current NLP methodologies and introduces a new framework for identifying disclosures, focusing on user-centric elements like content tone and authorship. The approach aims to prevent the disclosure of private information by identifying them in a conversation and warning the dispatcher before the conveyance happens between the sender and the receiver.",identify potential privacy disclosure,"identifying potential information disclosure, preventing private information disclosure, warning about information disclosure",Conference Paper,2020
P23,"A User-Centric Privacy-Preserving Approach to Control Data Collection, Storage, and Disclosure in Own Smart Home Environments",Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,"A user-centric privacy-preserving approach, considering user-centric-control-points, called UCCPs. It allows the end users to control the entire data collection, storage, and disclosure process in smart home environments by considering different minimisation and aggregation levels.",assess the sensitivity level of the collected data types by balancing the arising privacy risks and (social and personal) advantages and applying functions helping end users to make context-based privacy-preserving data sharing decisions,"managing data disclosure, making informed decision, managing privacy settings in smart environments",Conference Paper,2022
P24,A User-Friendly Privacy Framework for Users to Achieve Consents With Nearby BLE Devices,Controlling Information Disclosure,Managing Privacy Settings,Internet of Things,-,-,-,Propose a privacy preferences expression framework for Bluetooth Low Energy (BLE)-based applications named PrivacyBat. The framework defines specifications for users to achieve agreements on privacy practices with nearby BLE devices.,notify BLE devices of their privacy preferences,Managing privacy settings of BLE devices,Journal Article,2018
P25,A Visualization Interface to Improve the Transparency of Collected Personal Data on the Internet,Raising Privacy Awareness,Visualising Disclosed Information,Online Services,37,Within-subjects design,Online Experiment,"Present TransparencyVis - a web-based interface to support the visual and interactive exploration of data exports from different online services, aiming to increase user awareness of personal data stored by such online services and the effects of online behaviour. ",reflect on their privacy attitude and their future behavior.,"raising privacy awareness, exploring personal data exports",Journal Article,2021
P26,Addressing The Privacy Paradox through Personalized Privacy Notifications,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Software applications,241,Between-subjects design,Online Experiment,Propose a personalized privacy notification approach to nudge users towards behaviors that reflect their privacy attitudes. This approach provides direct feedback so users can modify permissions to match their privacy concern levels.,be able to pay attention to the inconsistencies between their attitudes and specific apps/permissions altogether,"raising privacy awareness, nudging privacy behaviour, managing app permissions",Journal Article,2018
P27,Aegis: An Agent for Multi-party Privacy Preservation,Controlling Information Disclosure,Managing Multiparty Privacy,Social Networks,-,-,-,Propose an agent called Aegis to calculate the potential risk incurred by multi-party members in order to push privacy-preserving nudges to the sharer,be nudged when risking the other parties’ privacy through the disclosure,"managing multiparty privacy, nudging privacy behaviour",Conference Paper,2022
P28,AI-based analysis of policies and images for privacy-conscious content sharing,Improving Privacy Policy,Improving Privacy Policy Readability,Social Networks,-,-,-,"Propose a technique relying on machine learning and natural language processing to automatically parse privacy policies written in natural language, recognize the privacy-relevant entities in the text, and answer the user’s questions about the privacy practices of the provider regarding certain private data types.",set up their privacy policies and taking informed privacy decisions,"parsing privacy policies, answering privacy practices, making informed decision",Journal Article,2021
P29,An approach to personalized privacy policy recommendations on online social networks,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,-,-,-,"Propose an automated privacy policy recommender system. The system relies on the expertise of existing OSN users, in addition to the target user’s privacy policy history to provide him/her with personalized privacy policy suggestions for profile attributes, as well as user-generated content.",configure privacy policies for their profile attributes without having to deal with complex privacy policy configuration procedures,"managing OSN privacy settings, recommending privacy settings",Conference Paper,2016
P30,An automated model to score the privacy of unstructured information—Social media case,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Social Networks,-,-,-,Propose a privacy scoring model in social media to inform users about the level of their privacy from the amount of unstructured information they have shared,able to preserve their privacy and their sensitive information with anyone who can see their shared contents,calculating privacy score,Journal Article,2020
P31,An Automated Negotiation Agent for Permission Management,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,Introduce a novel agent-based approach to negotiate the permission to exchange private data between users and services (apps). The agent negotiates based on learned preferences from actual users.,automatically negotiate permissions,negotiating privacy permissions,Conference Paper,2017
P32,An automatic mechanism to provide privacy awareness and control over unwittingly dissemination of online private information,Raising Privacy Awareness,Assessing Risk and Nudging Privacy Behaviour,Online Services,-,-,-,"Propose a novel approach based on machine learning and sentence embedding techniques to provide privacy awareness to users for their text messages. Its prototype implementation, Knoxly, nudges the user (through opportune highlights and alerts) towards a more heedful behaviour concerning the disclosure of personal data within the message.",prevent involuntary dissemination of sensitive information during online communications and make heedful decisions,"raising privacy awareness, nudging privacy behaviour",Journal Article,2022
P33,An evaluation of three designs to engage users when providing their consent on smartphones,Controlling Information Disclosure,Managing Privacy Settings,Software applications,60,Between-subjects design,Laboratory Experiment,"Propose and test alternative interaction design solutions for selecting personal information on permission dialogues, namely using checkboxes, a drag-and-drop selection, and a swiping action",be aware of the information they share,"raising privacy awareness, managing permission requests",Journal Article,2021
P34,Analysis of Privacy Policies to Enhance Informed Consent,Improving Privacy Policy,Advancing Privacy Policy Assessment,Internet of Things,-,-,-,A tool that automatically reports the privacy risks associated with a given privacy policy in order to enhance data subjects’ awareness and to allow them to make more informed choices,enhance awareness and make more informed choices,"analysing privacy policies, making informed choices, raising privacy awareness, expressing and comparing privacy policies",Conference Paper,2019
P35,Android User Privacy Preserving Through Crowdsourcing,Controlling Information Disclosure,Managing App Permissions,Software applications,100,Within-subjects design,Laboratory Experiment,"Propose DroidNet, an Android permission control framework based on crowdsourcing. It introduces a probation mode for new apps, withholding permissions until it aggregates recommendations on whether to accept or reject them, based on an expertise ranking algorithm using transitional Bayesian inference to gather insights from peer expert users.",grant permissions to apps based on recommendations from expert users.,"recommending permission settings, managing app permission requests",Journal Article,2018
P36,AppMonitor: restricting information leakage to third‑party applications,Controlling Information Disclosure,Managing Privacy Settings,Social Networks,42,NA,Laboratory Experiment,"Propose an access control framework called AppMonitor  to preserve users privacy, by blocking the flow of private data between internal and external modules of a TPA (Third-Party Applications)",reduce the risk of disclosure of their private attributes through TPAs,"preserving user privacy, controlling information disclosure, blocking the flow of private data between TPAs",Journal Article,2020
P37,AppScalpel: Combining static analysis and outlier detection to identify and prune undesirable usage of sensitive data in Android applications,Controlling Information Disclosure,Managing App Permissions,Software applications,-,-,-,"Implement a novel privacy-preserving system named AppScalpel to prune undesirable usage of sensitive data in Android applications, on the top of static analysis and outlier detection results",protect their private information in a more fine-grained mode,"controlling information disclosure, pruning undesirable use of sensitive data in Android apps",Journal Article,2019
